4	1	1
5	1	1
6	1	1
10	1	1
11	1	1
3	2	1
4	2	1
2	3	1
1	4	1
2	4	1
5	4	1
7	4	1
9	4	1
1	5	1
4	5	1
10	5	1
15	5	1
1	6	1
7	6	1
9	6	1
4	7	1
6	7	1
8	7	1
11	7	1
12	7	1
7	8	1
10	8	1
4	9	1
6	9	1
1	10	1
5	10	1
8	10	1
11	10	1
1	11	1
7	11	1
10	11	1
7	12	1
5	15	1
2	1	2
7	1	2
9	1	2
1	2	2
13	2	2
14	2	2
15	2	2
4	3	2
5	3	2
11	3	2
15	3	2
3	4	2
10	4	2
12	4	2
13	4	2
3	5	2
11	5	2
13	5	2
14	5	2
11	6	2
15	6	2
1	7	2
11	8	2
1	9	2
11	9	2
15	9	2
4	10	2
3	11	2
5	11	2
6	11	2
8	11	2
9	11	2
14	11	2
4	12	2
15	12	2
2	13	2
4	13	2
5	13	2
15	13	2
2	14	2
5	14	2
11	14	2
15	14	2
2	15	2
3	15	2
6	15	2
9	15	2
12	15	2
13	15	2
14	15	2
